id,grade,kanji,rad
1468,S,淑,氵 小 卜 又
1469,S,粛,｜ ノ ヨ 米 隶
1470,S,塾,丶 九 口 子 土 亠
1471,S,俊,⺅ 儿 厶 夂
1472,S,瞬,牛 舛 爪 目 夕 冖
1473,S,旬,日 勹
1474,S,巡,辶 巛
1475,S,盾,斤 十 目 厂
1476,S,准,冫 隹
1477,S,殉,日 勹 歹
1478,S,循,斤 十 目 厂 彳
1479,S,潤,王 氵 門
1480,S,遵,辶 寸 酉 并
1481,S,庶,广 灬
1482,S,緒,糸 幺 小 日 ⺹
1483,S,如,口 女
1484,S,叙,禾 又 𠆢
1485,S,徐,禾 𠆢 彳
1486,S,升,ノ 廾 十
1487,S,召,口 刀
1488,S,匠,斤 匚
1489,S,床,木 广
1490,S,抄,ノ 小 扌
1491,S,肖,月 ⺌
1492,S,尚,口 ⺌ 冂
1493,S,昇,ノ 日 廾 十
1494,S,沼,口 氵 刀
1495,S,宵,月 ⺌ 宀
1496,S,症,一 止 疒
1497,S,祥,王 并 羊 礻
1498,S,称,ノ 禾 小 一
1499,S,渉,ノ 止 氵 小
1500,S,紹,口 糸 幺 小 刀
1501,S,訟,言 ハ 厶
1502,S,掌,口 手 ⺌ 冖
1503,S,晶,日
1504,S,焦,灬 隹
1505,S,硝,月 口 ⺌ 石
1506,S,粧,土 米 广
1507,S,詔,言 口 刀
1508,S,奨,寸 大 爪 爿
1509,S,詳,王 言 并 羊
1510,S,彰,音 十 日 立 彡
1511,S,憧,忄 里 立
1512,S,衝,｜ 行 日 彳 里
1513,S,償,⺅ 貝 目 ハ 口 ⺌ 冖
1514,S,礁,口 石 灬 隹
1515,S,鐘,金 里 立
1516,S,丈,ノ 一 丶
1517,S,冗,冖 几
1518,S,浄,氵 亅 勹 ヨ
1519,S,剰,｜ ノ 一 刂
1520,S,畳,一 田 冖
1521,S,縄,亀 糸 幺 小 田 乙 勹
1522,S,壌,衣 土 ハ 亠
1523,S,嬢,衣 女 ハ 亠
1524,S,錠,金 疋 宀
1525,S,譲,衣 言 ハ 亠
1526,S,醸,衣 酉 ハ 亠
1527,S,拭,工 弋 扌
1528,S,殖,十 目 歹
1529,S,飾,ノ 巾 食
1530,S,触,角 虫
1531,S,嘱,口 尸 禸
1532,S,辱,衣 寸 辰 厂
1533,S,尻,九 尸
1534,S,伸,｜ ⺅ 日 田
1535,S,芯,心 ⺾
1536,S,辛,十 辛 立
1537,S,侵,ヨ ⺅ 又 冖
1538,S,津,氵 聿
1539,S,唇,衣 口 辰 厂
1540,S,娠,衣 女 辰 厂
1541,S,振,衣 辰 厂 扌
1542,S,浸,ヨ 氵 又 冖
1543,S,紳,｜ 糸 幺 小 日 田
1544,S,診,言 𠆢 彡
1545,S,寝,ヨ 又 冖 宀 爿
1546,S,慎,一 十 ハ 忄 目
1547,S,審,田 釆 米 宀
1548,S,震,衣 雨 辰 厂
1549,S,薪,斤 十 辛 并 木 立 ⺾ 亠
1550,S,刃,刀 丶
1551,S,尽,尸 丶
1552,S,迅,辶 十
1553,S,甚,一 甘 儿
1554,S,陣,車 ⻖
1555,S,尋,ヨ 口 工 寸
1556,S,腎,月 臣 又
1557,S,須,貝 目 ハ 頁 彡
1558,S,吹,欠 口
1559,S,炊,火 欠
1560,S,帥,｜ 巾 口
1561,S,粋,九 十 米
1562,S,衰,衣 一 亠
1563,S,酔,九 十 酉
1564,S,遂,辶 并 豕
1565,S,睡,｜ ノ 一 目
1566,S,穂,禾 十 心 田
1567,S,随,ノ 一 月 辶 ⻖
1568,S,髄,ノ 一 月 辶 冖 骨
1569,S,枢,木 匚
1570,S,崇,山 示 二 小 宀
1571,S,据,口 十 尸 扌
1572,S,杉,木 彡
1573,S,裾,口 十 衤 尸
1574,S,瀬,｜ 貝 目 ハ 氵 頁
1575,S,是,日 疋
1576,S,井,｜ ノ 一 二 井
1577,S,姓,女 生
1578,S,征,一 止 彳
1579,S,斉,｜ ノ 文 廾 斉
1580,S,牲,牛 生
1581,S,凄,女 冫 ヨ 十
1582,S,逝,斤 辶 扌
1583,S,婿,月 女 疋
1584,S,誓,斤 言 扌
1585,S,請,月 言 青 土 二 亠
1586,S,醒,生 酉 日
1587,S,斥,斤 丶
1588,S,析,斤 木
1589,S,脊,月 𠆢 癶 二
1590,S,隻,又 隹
1591,S,惜,｜ 一 二 日 忄
1592,S,戚,ノ 小 卜 戈
1593,S,跡,口 止 赤 足 亠
1594,S,籍,｜ 一 竹 土 日 ハ 木 亠 耒
1595,S,拙,｜ 山 扌
1596,S,窃,穴 刀 儿 匕 宀
1597,S,摂,耳 冫 扌
1598,S,仙,⺅ 山
1599,S,占,口 卜
1600,S,扇,羽 戸 冫 一 尸
1601,S,栓,王 木 𠆢
1602,S,旋,疋 方
1603,S,煎,一 刂 月 并 灬
1604,S,羨,王 欠 氵 并 羊
1605,S,腺,月 水 白
1606,S,詮,王 言 𠆢 ハ
1607,S,践,ノ 口 足 毛 丶
1608,S,箋,竹 戈
1609,S,潜,氵 人 土 日
1610,S,遷,辶 西 大 已
1611,S,薦,广 灬 ⺾
1612,S,繊,糸 幺 小 土 戈 赤
1613,S,鮮,王 魚 田 并 羊 灬
1614,S,禅,十 ⺌ 田 礻
1615,S,漸,斤 車 氵
1616,S,膳,王 月 口 并 羊
1617,S,繕,王 口 糸 幺 小 并 羊
1618,S,狙,一 犭 目
1619,S,阻,一 目 ⻖
1620,S,租,一 禾 目
1621,S,措,｜ 一 二 日 扌
1622,S,粗,一 米 目
1623,S,疎,｜ 一 口 止 木
1624,S,訴,斤 言 丶
1625,S,塑,月 土 并 屮
1626,S,遡,月 辶 并 屮
1627,S,礎,口 石 疋 木
1628,S,双,又 丶
1629,S,壮,士 爿
1630,S,荘,士 爿 ⺾
1631,S,捜,｜ 日 又 扌 田
1632,S,挿,｜ ノ 十 日 扌 田
1633,S,桑,又 木
1634,S,掃,ヨ 巾 冖 扌
1635,S,曹,｜ 一 日
1636,S,曽,田 日 并
1637,S,爽,一 人 亠
1638,S,喪,｜ 衣 一 口
1639,S,痩,又 疒
1640,S,葬,一 夕 匕 廾 ⺾
1641,S,僧,⺅ 田 日 并
1642,S,遭,｜ 一 辶 日
1643,S,槽,｜ 一 日 木
1644,S,踪,口 示 二 小 足 宀
1645,S,燥,火 口 木 品
1646,S,霜,雨 木 目
1647,S,騒,虫 馬 又
1648,S,藻,口 氵 木 ⺾ 品
1649,S,憎,田 日 并 忄
1650,S,贈,貝 目 ハ 田 日 并
1651,S,即,艮 卩
1652,S,促,⺅ 口 足
1653,S,捉,口 足 扌
1654,S,俗,⺅ 口 谷 ハ 𠆢
1655,S,賊,貝 目 ハ 十 戈
1656,S,遜,ノ 辶 子 糸 幺 小
1657,S,汰,氵 大 丶
1658,S,妥,女 爪
1659,S,唾,｜ ノ 一 口
1660,S,堕,ノ 一 月 土 ⻖
1661,S,惰,ノ 一 月 工 忄
1662,S,駄,大 馬 丶
1663,S,耐,而 寸
1664,S,怠,口 心 厶
1665,S,胎,月 口 厶
1666,S,泰,｜ 一 水 二 人
1667,S,堆,土 隹
1668,S,袋,衣 ⺅ 弋
1669,S,逮,ヨ 辶 水 隶
1670,S,替,人 大 二 日 亠
1671,S,滞,巾 氵 冖
1672,S,戴,｜ 一 田 土 二 ハ 戈
1673,S,滝,氵 田 立 竜
1674,S,択,尸 扌
1675,S,沢,氵 尸
1676,S,卓,十 日 卜
1677,S,拓,口 石 扌
1678,S,託,ノ 一 乙 言
1679,S,濯,ヨ 氵 隹
1680,S,諾,ノ 一 言 口 ⺾
1681,S,濁,氵 虫 罒 勹
1682,S,但,一 ⺅ 日
1683,S,脱,月 口 并 儿
1684,S,奪,寸 大 隹
1685,S,棚,月 木
1686,S,誰,言 隹
1687,S,丹,ノ 一 丶 亅
1688,S,旦,一 日
1689,S,胆,一 月 日
1690,S,淡,火 氵
1691,S,嘆,ノ 一 口 ⺾
1692,S,端,山 而 立
1693,S,綻,糸 幺 小 疋 宀
1694,S,鍛,金 殳 几 又
1695,S,弾,弓 十 ⺌ 田
1696,S,壇,一 口 土 日 亠 囗
1697,S,恥,耳 心
1698,S,致,至 土 厶 攵
1699,S,遅,王 辶 并 羊 尸
1700,S,痴,口 矢 疒
1701,S,稚,禾 隹
1702,S,緻,糸 幺 小 至 土 厶 攵 一
1703,S,畜,玄 田 亠 幺
1704,S,逐,辶 豕
1705,S,蓄,玄 田 亠 幺 ⺾
1706,S,秩,ノ 禾 人 土 大
1707,S,窒,一 穴 至 土 儿 厶 宀
1708,S,嫡,口 十 女 并 立 亠 冂 滴
1709,S,沖,｜ 氵 口
1710,S,抽,｜ 日 扌 田
1711,S,衷,衣 十 口
1712,S,酎,寸 酉
1713,S,鋳,ノ 亠 土 金 寸
1714,S,駐,王 馬 丶
1715,S,弔,｜ 弓
1716,S,挑,儿 冫 扌
1717,S,彫,口 土 冂 彡
1718,S,眺,目 儿 冫
1719,S,釣,金 丶 勹
1720,S,貼,貝 目 ハ 口 卜
1721,S,超,口 走 土 刀
1722,S,跳,口 足 儿 冫
1723,S,徴,王 山 彳 攵
1724,S,嘲,月 口 十 日
1725,S,澄,口 氵 豆 并 癶
1726,S,聴,耳 十 心 罒
1727,S,懲,王 山 心 彳 攵
1728,S,勅,｜ 一 口 木 力
1729,S,捗,ノ 止 小 扌
1730,S,沈,氵 尢
1731,S,珍,王 𠆢 彡
1732,S,朕,月 人 大 一 并
1733,S,陳,｜ 一 田 日 木 ⻖
1734,S,鎮,金 十 并 目 一 ハ
1735,S,椎,木 隹
1736,S,墜,土 并 豕 ⻖
1737,S,塚,土 冖 豕
1738,S,漬,貝 目 ハ 氵 土 亠
1739,S,坪,干 土 并
1740,S,爪,爪
1741,S,鶴,鳥 灬 隹 宀
1742,S,呈,王 口
1743,S,廷,王 廴 士
1744,S,抵,氏 扌
1745,S,邸,氏 ⻏
1746,S,亭,口 亅 亠 冖
1747,S,貞,貝 目 ハ 卜
1748,S,帝,巾 并 立 亠 冖
1749,S,訂,一 言 亅
1750,S,逓,巾 辶 厂 二 ｜
1751,S,偵,⺅ 貝 目 ハ 卜
1752,S,堤,土 日 疋
1753,S,艇,王 舟 廴
1754,S,締,巾 糸 幺 小 并 立 亠 冖
1755,S,諦,巾 言 并 立 亠 冖
1756,S,泥,氵 匕 尸
1757,S,摘,口 十 并 立 亠 冂 扌 滴
1758,S,滴,口 十 氵 并 立 亠 冂 滴
1759,S,溺,弓 氵 冫
1760,S,迭,｜ ノ 一 牛 辶 矢 大
1761,S,哲,斤 口 扌
1762,S,徹,月 亠 厶 彳 攵
1763,S,撤,月 亠 厶 扌 攵
1764,S,添,ノ 氵 心 大
1765,S,塡,ハ 匕 土 目 貝
1766,S,殿,｜ 一 二 ハ 尸 殳 几 又
1767,S,斗,斗
1768,S,吐,口 土
1769,S,妬,口 女 石
1770,S,途,辶 ハ 𠆢 亅 木
1771,S,渡,氵 又 广
1772,S,塗,氵 土 ハ 𠆢 亅 木
1773,S,賭,貝 目 ハ 日 ⺹
1774,S,奴,女 又
1775,S,怒,女 心 又
1776,S,到,刂 至 土 厶
1777,S,逃,辶 儿 冫
1778,S,倒,⺅ 刂 至 土 厶
1779,S,凍,｜ 一 日 木 冫 田
1780,S,唐,｜ ヨ 一 口 广
1781,S,桃,木 儿 冫
1782,S,透,ノ 禾 辶 乃
1783,S,悼,十 日 忄 卜
1784,S,盗,欠 皿 冫
1785,S,陶,缶 勹 ⻖
1786,S,塔,口 土 𠆢 ⺾
1787,S,搭,口 𠆢 扌 ⺾
1788,S,棟,｜ 一 日 木 田
1789,S,痘,口 豆 并 疒
1790,S,筒,口 竹 冂
1791,S,稲,｜ 禾 爪 日
1792,S,踏,口 水 足 日
1793,S,謄,｜ 一 月 言
1794,S,藤,｜ 一 月 水 ⺾
1795,S,闘,口 寸 豆 并 門
1796,S,騰,月 馬 并 一 人 大 二
1797,S,洞,口 氵 冂 一
1798,S,胴,月 口 冂 一
1799,S,瞳,目 里 立
1800,S,峠,｜ 一 山 卜
1801,S,匿,ノ 口 匚 ⺾
1802,S,督,小 卜 又 目
1803,S,篤,竹 灬 馬
1804,S,栃,斤 木 厂
1805,S,凸,｜ 一 冂 凵
1806,S,突,穴 大 儿 宀
1807,S,屯,ノ 乙 凵 屯
1808,S,豚,月 豕
1809,S,頓,貝 目 ハ 頁 屯
1810,S,貪,貝 目 ハ 𠆢
1811,S,鈍,金 屯
1812,S,曇,雨 二 日 厶
1813,S,丼,｜ ノ 二 丶 廾 井
1814,S,那,刀 ⻏ 二
1815,S,奈,示 二 小 大
1816,S,梨,禾 刂 木
1817,S,謎,言 辶 米
1818,S,鍋,金 口 冂
1819,S,軟,欠 車
1820,S,尼,匕 尸
1821,S,弐,一 弋 二
1822,S,匂,勹 匕
1823,S,虹,工 虫
1824,S,尿,水 尸
1825,S,妊,ノ 王 士 女
1826,S,忍,心 刀 丶
1827,S,寧,一 心 罒 亅 宀
1828,S,捻,｜ 一 心 𠆢 扌
1829,S,粘,口 米 卜
1830,S,悩,⺌ 忄 凵
1831,S,濃,｜ 衣 一 氵 辰 日 厂
1832,S,把,巴 扌
1833,S,覇,革 月 西
1834,S,婆,氵 女 皮 又
1835,S,罵,馬 罒
1836,S,杯,｜ ノ 一 木 礻
1837,S,排,非 扌
1838,S,廃,一 儿 广 癶
1839,S,輩,車 非
1840,S,培,口 土 立
1841,S,陪,口 立 ⻖
1842,S,媒,甘 女 木
1843,S,賠,貝 目 ハ 口 立
1844,S,伯,⺅ 白
1845,S,拍,白 扌
1846,S,泊,氵 白
1847,S,迫,辶 白
1848,S,剝,亅 冫 刂 ヨ 彑 水
1849,S,舶,舟 白
1850,S,薄,十 氵 寸 田 丶 ⺾
1851,S,漠,氵 大 日 ⺾
1852,S,縛,糸 幺 小 十 寸 田 丶
1853,S,爆,｜ 一 火 水 日 ハ 井
1854,S,箸,竹 日 ⺹
1855,S,肌,月 几
1856,S,鉢,一 金 木
1857,S,髪,夂 一 長 彡 髟
1858,S,伐,⺅ 戈
1859,S,抜,夂 亠 扌 又
1860,S,罰,刂 言 罒
1861,S,閥,⺅ 門 戈
1862,S,氾,乙 氵 卩
1863,S,帆,巾 丶 几
1864,S,汎,氵 丶 几
1865,S,伴,｜ ⺅ 二 并 十
1866,S,阪,又 厂 ⻖
1867,S,畔,｜ 田 二 并 十
1868,S,般,舟 殳 几 又
1869,S,販,貝 目 ハ 又 厂
1870,S,斑,王 文
1871,S,搬,舟 扌 殳 几 又
1872,S,煩,火 貝 目 ハ 頁
1873,S,頒,貝 目 刀 ハ 頁
1874,S,範,乙 車 竹 卩
1875,S,繁,糸 幺 小 母 攵 毋
1876,S,藩,氵 田 釆 米 ⺾
1877,S,蛮,虫 亠
1878,S,盤,皿 舟 殳 几 又
1879,S,妃,女 已
1880,S,彼,皮 又 彳
1881,S,披,皮 又 扌
1882,S,卑,十 田
1883,S,疲,皮 又 疒
1884,S,被,衤 皮 又
1885,S,扉,戸 非 一 尸
1886,S,碑,口 十 石 田
1887,S,罷,月 罒 匕 厶
1888,S,避,口 辶 十 辛 立 尸
1889,S,尾,毛 尸
1890,S,眉,目 尸 ｜
1891,S,微,山 彳 攵
1892,S,膝,月 水 木 𠆢
1893,S,肘,月 寸
1894,S,匹,儿 匚
1895,S,泌,ノ 氵 心 丶
1896,S,姫,女 臣
1897,S,漂,示 二 小 氵 西
1898,S,苗,田 ⺾
1899,S,描,田 扌 ⺾
1900,S,猫,田 犭 ⺾
1901,S,浜,斤 氵 ハ 一
1902,S,賓,ノ 貝 目 ハ 小 宀
1903,S,頻,ノ 貝 目 ハ 止 小 頁
1904,S,敏,母 攵 毋
1905,S,瓶,瓦 并
1906,S,扶,人 二 扌 大
1907,S,怖,ノ 一 巾 忄
1908,S,阜,⻖ 十
1909,S,附,⺅ 寸 ⻖
1910,S,訃,言 卜
1911,S,赴,走 土 卜
1912,S,浮,子 氵 爪
1913,S,符,⺅ 寸 竹
1914,S,普,｜ 一 二 日 并
1915,S,腐,⺅ 寸 肉 广
1916,S,敷,十 田 方 丶 攵
1917,S,膚,月 田 卜 匕 厂 虍
1918,S,賦,貝 目 ハ 止 弋
1919,S,譜,｜ 一 言 二 日 并
1920,S,侮,⺅ 母 毋
1921,S,舞,｜ ノ 一 舛 二 夕 無
1922,S,封,寸 土
1923,S,伏,⺅ 犬
1924,S,幅,一 巾 口 田
1925,S,覆,西 日 夂 彳
1926,S,払,厶 扌
1927,S,沸,｜ ノ 弓 氵
1928,S,紛,糸 幺 小 刀 ハ
1929,S,雰,雨 刀 ハ
1930,S,噴,貝 目 ハ 口 十 ⺾
1931,S,墳,貝 目 ハ 十 土 ⺾
1932,S,憤,貝 目 ハ 十 忄 ⺾
1933,S,丙,一 人 冂
1934,S,併,｜ ノ 一 ⺅ 二 并 廾
1935,S,柄,一 人 木 冂
1936,S,塀,｜ ノ 一 土 二 ハ 尸 廾
1937,S,幣,巾 并 冂 攵
1938,S,弊,｜ 巾 ⺌ 并 冂 廾 攵
1939,S,蔽,｜ 巾 ⺌ 并 冂 攵 ⺾
1940,S,餅,｜ ノ 一 食 二 并 廾
1941,S,壁,口 十 辛 土 立 尸
1942,S,璧,王 口 十 辛 立 尸
1943,S,癖,口 十 辛 立 尸 疒
1944,S,蔑,ノ 罒 戈 ⺾
1945,S,偏,｜ 一 ⺅ 戸 冂 冊 尸
1946,S,遍,｜ 一 戸 辶 冂 冊 尸
1947,S,哺,口 十 用 丶
1948,S,捕,十 用 丶 扌
1949,S,舗,口 十 土 用 𠆢 丶
1950,S,募,大 日 力 ⺾
1951,S,慕,心 大 日 ⺾
1952,S,簿,十 氵 寸 竹 田 丶
1953,S,芳,方 ⺾
1954,S,邦,ノ 二 ⻏
1955,S,奉,｜ 一 人 大 二
1956,S,抱,勹 已 扌
1957,S,泡,氵 勹 已
1958,S,胞,月 勹 已
1959,S,俸,｜ 一 ⺅ 人 大 二
1960,S,倣,⺅ 方 攵
1961,S,峰,｜ 一 山 夂
1962,S,砲,口 石 勹 已
1963,S,崩,月 山
1964,S,蜂,｜ 一 虫 夂
1965,S,飽,食 勹 已
1966,S,褒,衣 ⺅ 口 小 亠
1967,S,縫,｜ 一 辶 糸 幺 小 夂
1968,S,乏,ノ 乙 丶 亠
1969,S,忙,亡 忄 亠
1970,S,坊,土 方
1971,S,妨,女 方
1972,S,房,戸 方 一 尸
1973,S,肪,月 方
1974,S,某,甘 木
1975,S,冒,日 目
1976,S,剖,刂 口 立
1977,S,紡,糸 幺 小 方
1978,S,傍,⺅ 并 方 立 亠 冖
1979,S,帽,巾 日 目
1980,S,貌,白 儿 豸
1981,S,膨,月 口 十 土 豆 并 彡
1982,S,謀,甘 言 木
1983,S,頰,人 ハ 木 目 貝 頁
1984,S,朴,卜 木
1985,S,睦,土 目 儿
1986,S,僕,王 ⺅ 并 羊
1987,S,墨,黒 土 里 灬
1988,S,撲,王 人 并 羊 扌
1989,S,没,氵 殳 几 又
1990,S,勃,子 十 力 冖
1991,S,堀,｜ 山 土 尸
1992,S,奔,ノ 一 十 大 廾
1993,S,翻,羽 田 釆 米 冫
1994,S,凡,丶 几
1995,S,盆,皿 刀 ハ
1996,S,麻,木 广 麻
1997,S,摩,手 木 广 麻
1998,S,磨,口 石 木 广 麻
1999,S,魔,鬼 田 木 儿 匕 广 麻
2000,S,昧,｜ 二 日 ハ 木 亠
2001,S,埋,土 里
2002,S,膜,月 大 日 ⺾
2003,S,枕,ノ 乙 木 冖 尢
2004,S,又,又
2005,S,抹,｜ 一 ハ 木 亠 扌
2006,S,慢,日 罒 忄 又
2007,S,漫,氵 日 罒 又
2008,S,魅,｜ 鬼 田 二 ハ 木 亠 儿 匕
2009,S,岬,｜ 山 日 田
2010,S,蜜,ノ 心 虫 丶 宀
2011,S,妙,ノ 女 小
2012,S,眠,口 氏 目
2013,S,矛,矛 マ
2014,S,霧,雨 矛 力 夂
2015,S,娘,艮 女
2016,S,冥,日 ハ 亠 冖
2017,S,銘,金 口 夕
2018,S,滅,ノ 火 氵 戈
2019,S,免,｜ 一 勹 口 儿 免
2020,S,麺,麦 面 夂
2021,S,茂,ノ 戈 ⺾
2022,S,妄,亡 女 亠
2023,S,盲,亡 目 亠
2024,S,耗,｜ 士 ハ 毛 木 耒
2025,S,猛,皿 子 犭
2026,S,網,亡 糸 幺 小 并 冂
2027,S,黙,犬 里 灬 黒
2028,S,紋,糸 幺 小 文
2029,S,冶,口 冫 厶
2030,S,弥,ノ 弓 亅 小
2031,S,厄,卩 厂
2032,S,躍,ヨ 口 足 隹
2033,S,闇,音 日 門 立
2034,S,喩,刂 月 口 𠆢
2035,S,愉,刂 月 忄 𠆢
2036,S,諭,刂 月 言 𠆢
2037,S,癒,刂 月 心 𠆢 疒
2038,S,唯,口 隹
2039,S,幽,｜ 凵 幺
2040,S,悠,｜ ⺅ 心 夂 攵
2041,S,湧,氵 田 力 マ
2042,S,猶,酉 并 犭
2043,S,裕,口 衤 谷 ハ 𠆢
2044,S,雄,ノ 一 厶 隹
2045,S,誘,乃 禾 言
2046,S,憂,一 自 心 冖 夂 白
2047,S,融,口 虫 儿 冂 鬲
2048,S,与,勹 一 卜
2049,S,誉,一 言 ⺌ 并
2050,S,妖,ノ 女 大
2051,S,庸,ヨ 用 广 聿
2052,S,揚,一 日 扌 勿
2053,S,揺,干 爪 凵 扌
2054,S,溶,穴 口 氵 谷 ハ 𠆢 宀
2055,S,腰,月 女 西
2056,S,瘍,ノ 一 日 勹 疒
2057,S,踊,口 足 用 マ
2058,S,窯,王 穴 并 羊 儿 宀 灬
2059,S,擁,亠 扌 隹
2060,S,謡,干 言 爪 凵
2061,S,抑,卩 扌
2062,S,沃,ノ 氵 大
2063,S,翼,｜ 一 羽 田 二 ハ 冫 井
2064,S,拉,立 扌
2065,S,裸,衤 田 木
2066,S,羅,糸 幺 小 罒 隹
2067,S,雷,雨 田
2068,S,頼,｜ 貝 目 口 ハ 頁 木
2069,S,絡,口 糸 幺 小 夂
2070,S,酪,口 酉 夂
2071,S,辣,｜ 口 十 辛 木 立
2072,S,濫,ノ 皿 氵 臣 二
2073,S,藍,ノ 皿 臣 二 ⺾
2074,S,欄,｜ 一 日 木 門 田
2075,S,吏,ノ 一 口 丶
2076,S,痢,禾 刂 疒
2077,S,履,日 夂 尸 彳
2078,S,璃,王 亠 凵 禸
2079,S,離,亠 凵 禸 隹
2080,S,慄,西 忄 木
2081,S,柳,木 卩
2082,S,竜,立 竜 田 乙
2083,S,粒,米 立
2084,S,隆,生 夂 ⻖
2085,S,硫,口 石 川 亠 厶
2086,S,侶,｜ 一 ⺅ 口
2087,S,虜,田 卜 力 匕 厂 虍
2088,S,慮,心 田 卜 匕 厂 虍
2089,S,了,一 亅
2090,S,涼,口 氵 小 亠
2091,S,猟,⺌ 犭 用 几
2092,S,陵,土 儿 夂 ⻖
2093,S,僚,⺅ 小 日
2094,S,寮,小 日 并 𠆢 宀
2095,S,療,小 日 并 𠆢 疒
2096,S,瞭,小 日 并 目 𠆢
2097,S,糧,一 日 米 里
2098,S,厘,里 厂
2099,S,倫,｜ 一 ⺅ 𠆢 亅 冊
2100,S,隣,舛 米 夕 ⻖
2101,S,瑠,王 田 刀 厶
2102,S,涙,戸 氵 大 一 尸
2103,S,累,糸 幺 小 田
2104,S,塁,田 土 冫
2105,S,励,斤 力 厂
2106,S,戻,戸 大 一 尸
2107,S,鈴,金 𠆢 卩 一
2108,S,零,雨 𠆢 卩 一
2109,S,霊,｜ 一 雨 二
2110,S,隷,ヨ 士 小 水 二 隶 示 二 小
2111,S,齢,止 歯 米 𠆢 凵 卩
2112,S,麗,一 鹿 比 冂 广
2113,S,暦,日 麻 木 厂 广
2114,S,劣,ノ 小 力
2115,S,烈,刂 灬 歹
2116,S,裂,衣 刂 歹
2117,S,恋,心 ハ 亠
2118,S,廉,｜ ヨ ハ 广 并
2119,S,錬,｜ 一 金 日 木 田 并 ハ
2120,S,呂,口
2121,S,炉,火 戸 一 尸
2122,S,賂,貝 目 ハ 口 夂
2123,S,露,雨 口 足 夂
2124,S,弄,王 廾
2125,S,郎,艮 ⻏
2126,S,浪,艮 氵
2127,S,廊,艮 ⻏ 广
2128,S,楼,女 米 木
2129,S,漏,雨 氵 尸
2130,S,籠,月 竹 立
2131,S,麓,鹿 比 木 广
2132,S,賄,ノ 一 貝 目 ハ 月
2133,S,脇,月 力
2134,S,惑,口 心 戈
2135,S,枠,九 十 木
2136,S,湾,弓 氵 亠
